AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,NVDA,PG,SHW,TRV,UNH,V,VZ,WMT
0.022230794678478327,0.02178869611582357,-0.002449462616694653,0.009549642748897469,0.010677370536491315,0.019211062325687145,-0.009929813497921769,-0.0073806418966045895,0.016555488699672383,-0.004129859085826859,0.013348262233859653,-0.0035104774339307365,0.0020520794487768335,-0.012190917926186762,-0.0023088554430095165,0.005474997578904128,-0.010604083403069398,-0.009613769971895558,0.001040299725361571,0.007089556666121988,-0.0019509217846548355,0.040593899188775984,0.025766351418616162,-0.000124183289510027,-0.007852376362038394,-0.036179729365485636,-0.05696951493701885,-0.0035164498492925578,-0.0020603947441523163,-0.006412868788610471
0.005224985464938214,0.004682360226539117,0.015869432167251007,0.010283542524749167,0.018346457633561464,-0.0014306955364138396,0.010920964427304725,0.0174540097624567,0.0026354618445678657,0.008293971103573439,0.01088154508518957,-0.00045725811543262385,0.004764695620255166,0.015018214484725068,0.002892898189357007,0.01858215930727969,0.006204888850877444,-0.0018668740502820746,-0.006689787866622887,-0.017720596514048004,0.015781265655180343,0.0,0.013290989179453039,-0.0022952115452030686,0.004226744624860723,0.0263853268376395,0.0032189230329418006,0.013099230320023691,-0.0009177565862930059,0.007683641792120222
-0.01685796223455238,-0.017737368525829078,0.0002685535903059755,-0.016456912603551754,0.012550975995038405,-0.015960244682633462,-0.008634989098546209,-0.006342899277814951,-0.006537677783893581,-0.006774159159662285,-0.01761834651016647,-0.01086953338921437,-0.004367674133279986,0.001712506972722183,-0.004743330659995437,-0.013614877621957011,-0.004765139664609119,-0.0018702602126871026,-0.007192379467077181,-0.00037056350318021014,-0.0022452582003857913,0.0018327213583129165,-0.006903417381724064,-0.0020518134233160623,-0.0217796056859636,-0.019460054711295194,-0.01568631767320272,-0.006186214605296558,-0.01722152266327881,0.010065070767211193
0.00028576554438819457,0.01382480823017529,-0.018391733064396676,-0.017816821085215984,-0.0005031359277997138,0.007100611632483211,0.014269844220782035,-0.004932567200656712,0.039620255342670774,-0.010880147802769025,-0.019200064316156507,-0.0003807881790898193,0.001880140622860571,-0.00700924328621233,0.0033489854343820014,-0.03147581593578774,-0.010843593837923104,-0.00633652939864271,0.01251326539549713,0.005809582254662438,-0.002210101279708887,-0.03410432456857304,0.011122326495506485,-0.01626167948499402,-0.0008374302115613519,-0.010038973696048337,0.013137703834301906,-0.005860313670083217,0.0060749091013565515,-0.022747843539181023
0.005380696032397214,-0.0016160594118233007,0.014496684294917905,0.0011672967487841301,0.036976028157953644,0.020010626189277403,-0.009976157237716943,0.009913922938413089,-0.0014357509174680594,-0.009932669751388512,-0.0010326138849094946,0.009632652425754396,-0.004503814698940678,-0.0009640066388187929,0.0031452586448696973,0.001343785509365203,-0.010819969844894084,0.004628434069004594,0.014570023371383689,0.028757468961761345,0.013873875666849278,-0.004870065033698245,0.017999969095818136,-0.002343426672395288,0.0160116171731568,-0.004173333067610585,-0.015567230998493442,0.009053877231436802,-0.010450683664531502,-0.002883975846919795
0.006015023968325428,0.012983913835633354,-0.0012581953255335065,0.02486218181871047,-0.0022507049950917235,0.015291654168919422,-0.025653428201503292,-0.007362423427324294,0.007515431342519641,0.007876589713873505,0.018031441887933708,0.006090920808643041,-0.008168547679887617,-0.00934043016843833,0.00902220191439329,0.017763850720146745,0.004173674024626317,0.01832651094751614,0.008590992212854864,0.003703299509783431,-0.004031766929050162,0.014410047363171197,0.007490211033165828,0.006157883231966421,0.0008248363305531914,0.0026241464888270283,-0.011224358598528883,-0.005254938924462049,0.002337079553587973,-0.02014255524559072
-0.00588481171535149,-0.016979126806757505,0.012417933203629827,-0.017740701575886697,0.0033172630905753397,-0.005902006914591751,-0.022350976723600313,-0.011780142667407345,0.007394382460137239,-0.013902597839572595,-0.005880506855841516,-0.008652492856228933,-0.0035477645317216755,-0.013359765911702404,-0.0050098442522436,-0.004615119331620399,0.0014334473201407238,0.005093975349516944,-0.009407707427435463,-0.00785527825392962,0.0036691458164881396,-0.026668500519337113,0.0049968979800461,-0.009085576472857348,-0.0167693762362785,-0.005898675591536451,0.015325062681097013,-0.02233908653154071,-0.009754960970908555,-0.004849145563326496
-0.012028834934525112,0.005960691893344805,0.0029775049161142597,0.004538628457637639,0.01617879663284172,-0.0003696195626368137,0.006238530538682285,-0.001913040956431411,-0.02356585728439986,0.0008342297827272915,0.01184474126622126,0.00010805821901227475,0.009028117058478058,0.0007053320385081996,-0.0005097311269894877,0.0064144049473455755,-0.005724912562710016,0.006568615535726519,0.013282835068661347,0.0037188482717229743,-0.0005960652012634293,-0.005232011037595408,-0.005153982348054642,-0.02094888226298408,-0.0041338689322155675,0.0038903108499830363,-0.011575300465714866,0.007386543287947411,-0.0009609214679444644,0.014618485747098342
0.0023487523440752778,-0.015217300424120173,0.0029243814744550622,-0.032001721445074516,-0.0022124615807962433,-0.0027847432189794796,-0.008086831034631148,-0.009436653811588647,-0.006330207306316393,-0.008252048414527091,-0.015126824401935579,-0.030990706148856573,-0.01159367524979027,-0.0038409013128234415,-0.010521702138630684,-0.007447269554351044,-0.0015834888078019027,-0.00748644501131468,-0.008359073610517131,-0.025696254830502974,0.005566410200881,-0.0035985797949180665,0.040409535932759866,-0.007023953568422336,-0.01582003373903651,-0.018984675382903937,-0.029509539832286547,-0.009928627345135,-0.00769611495660949,-0.00407175296140061
0.0050212784395655685,0.02225568044674553,-0.013960696164789232,0.004023776890448305,-0.0004348091457201386,0.02036378389610971,0.0014366334987656604,0.002828135752825922,-0.005109955144799283,0.007059974014441028,0.008982026152874578,-0.0034576046753876932,0.006714802246756024,-0.002759103199691526,0.061932072367629765,-0.0025475109660638706,-0.0012976161108492201,-0.002403117555669576,0.006194485411826323,0.01116301080175508,-0.00039535209153085393,0.0015278376289669104,0.00392503050477,0.006877199542057566,0.002388967039069101,0.006264486825969806,0.002673723111101589,0.008299200755460312,-0.00024239923970548194,-0.0025159879458611645
